,name,year,rating,metascore,num_votes
342,Mallika Soloni,1953,,,
343,Firdaus,1953,,,
344,Malkin,1953,,,
345,Shuk Rambha,1953,,,
346,Naya Raasta,1953,,,
347,Manchala,1953,,,
348,Mahatma,I) (1953,,,
349,Hazaar Raaten,1953,,,
350,Bhagyawan,1953,,,
351,Naina,1953,,,
352,Aansoo,1953,,,
353,Akash,1953,,,
354,Paheli Shaadi,1953,,,
355,Jallianwalla Baag Ki Jyoti,1953,,,
356,Faraib,1953,,,
357,Dard-E-Dil,1953,,,
358,Khoj,1953,,,
359,Jhamela,1953,,,
360,Gul Sanobar,1953,,,
361,Dana Paani,1953,,,
362,Rangila,1953,,,
363,Nabin Yatra,1953,,,
364,Baghi,1953,,,
365,Boot Polish,1954,8.1,,686.0
366,Taxi Driver,1954,7.1,,242.0
367,Aar-Paar,1954,6.7,,205.0
368,Amar,1954,6.9,,147.0
369,Jagriti,1954,6.9,,116.0
370,Mirza Ghalib,1954,7.6,,96.0
371,Naukari,1954,7.7,,76.0
372,Nagin,1954,6.6,,55.0
373,Alibaba and 40 Thieves,1954,6.1,,46.0
374,Manohara,I) (1954,7.2,,42.0
375,Biraj Bahu,1954,6.1,,41.0
376,Nastik,1954,6.4,,31.0
377,'Ferry',1954,5.6,,27.0
378,Bahut Din Huwe...,1954,6.7,,24.0
379,Shabab,1954,5.4,,21.0
380,Hamlet,1954,6.4,,21.0
381,Shama Parwana,1954,6.4,,20.0
382,Baadbaan,1954,6.7,,19.0
383,Badshah,1954,6.4,,16.0
384,Tulsidas,1954,6.6,,15.0
385,Chor Bazar,1954,5.5,,15.0
386,Mayurpankh,1954,6.2,,15.0
387,Baap Beti,1954,6.8,,14.0
388,Adhikar,1954,6.6,,12.0
389,Shaheed-E-Azad Bhagat Singh,1954,7.3,,11.0
390,Shart,1954,5.8,,11.0
391,Subah Ka Tara,1954,5.4,,9.0
392,Chandni Chowk,1954,5.1,,8.0
393,Radha Krishna,1954,7.9,,7.0
394,Kavi,1954,3.1,,7.0
395,Miss Mala,1954,6.0,,7.0
396,Waris,1954,5.7,,6.0
397,Suhagan,1954,6.3,,6.0
398,Ilzam,1954,6.0,,6.0
399,Angarey,1954,7.0,,5.0
400,Lal Pari,1954,4.6,,5.0
401,Teer,1954,,,
402,Ritu Vihaar,1954,,,
403,Rasiya,1954,,,
404,Africa,1954,,,
405,Geheraye,1954,,,
406,Gokul Ka Raja,1954,,,
407,Guzaara,1954,,,
408,Ibrat,1954,,,
409,Ladla,1954,,,
410,Payal Ki Jhankar,1954,,,
411,Ramman,1954,,,
412,Sadma,1954,,,
413,Sitamgar,1954,,,
414,Vijaygar,1954,,,
415,Sheeshe Ki Diwar,1954,,,
416,Maha Puja,1954,,,
417,Sahil,1954,,,
418,Prisoner of Golconda,1954,,,
419,Daku Ki Ladki,1954,,,
420,Teen Tasveereen,1954,,,
421,Rajyogi Bharthari,1954,,,
422,Kasturi,1954,,,
423,Noor Mahal,1954,,,
424,Laila,1954,,,
425,Gul Bahar,1954,,,
426,Hukumat,1954,,,
427,Durga Puja,1954,,,
428,Chakradhari,1954,,,
429,Dak Babu,1954,,,
430,Lakeeren,1954,,,
431,Gawaiya,1954,,,
432,Sher Dil,1954,,,
433,Chora-Chori,1954,,,
434,Rishta,1954,,,
435,Pilpili Saheb,1954,,,
436,Pensioner,1954,,,
437,Khushboo,1954,,,
438,Laadla,1954,,,
439,Dhoop Chhaon,1954,,,
440,Amar Kirtan,1954,,,
441,Pyaase Nain,1954,,,
442,Maan,1954,,,
443,Pooja,1954,,,
444,Dost,1954,,,
445,Sangam,1954,,,
446,Ehsan,1954,,,
447,Aulad,1954,,,
448,Shiv Kanya,1954,,,
449,Haar Jeet,1954,,,
450,Bazooband,1954,,,
451,Mastana,1954,,,
452,Rihaee,1954,,,
453,Manohara,III) (1954,,,
454,Paheli Tarikh,1954,,,
455,Naaz,1954,,,
456,Hanuman Janma,1954,,,
457,Samrat,1954,,,
458,Barati,1954,,,
459,Tilottama,1954,,,
460,Pamposh,1954,,,
461,Kalakar,1954,,,
462,Bilwamangal,1954,,,
463,Shobha,1954,,,
464,Darwaza,1954,,,
465,Saltanat,1954,,,
466,Khaibar,1954,,,
467,Samaj,1954,,,
468,Mahatma Kabir,1954,,,
469,Jadugar,1954,,,
470,Meenar,1954,,,
471,Malka-e-Alam Noorjehan,1954,,,
472,Shiv Ratri,1954,,,
473,Savdhan,1954,,,
474,Aurat Teri Yehi Kahani,1954,,,
475,Bhai Sahab,1954,,,
476,Ameer,1954,,,
477,Majboori,1954,,,
478,Chitrangada,1954,,,
479,Watan,1954,,,
480,Toote Khilone,1954,,,
481,Shri Chaitanya Mahaprabhu,1954,,,
482,Parichay,1954,,,
483,Halla Gulla,1954,,,
484,Mehbooba,1954,,,
485,Mangu,1954,,,
486,Munna,1954,,,
487,Danka,1954,,,
488,Bokul,1954,,,
489,Shree 420,1955,8.0,,2392.0
490,Devdas,1955,8.0,,1618.0
491,Mr. & Mrs. '55,1955,7.2,,427.0
492,Azaad,1955,7.1,,122.0
493,Jhanak Jhanak Payal Baaje,1955,7.0,,97.0
494,Seema,1955,7.5,,95.0
495,Munimji,1955,7.4,,86.0
496,Insaniyat,1955,7.2,,69.0
497,House No. 44,1955,7.4,,66.0
498,Uran Khatola,1955,7.3,,58.0
499,Baap Re Baap,1955,6.6,,27.0
500,Railway Platform,1955,7.1,,21.0
501,Abe Hayat,1955,4.8,,21.0
502,Marine Drive,1955,6.4,,17.0
503,Bara-Dari,1955,5.9,,17.0
504,Pehli Jhalak,1955,6.4,,17.0
505,Vachan,1955,5.5,,16.0
506,Dev Anand in Goa (Alias Farar),1955,5.6,,16.0
507,Milap,1955,7.3,,16.0
508,Kundan,1955,6.6,,16.0
509,Garam Coat,1955,7.5,,15.0
510,Jayasimha,1955,7.8,,15.0
511,Sardar,1955,8.0,,15.0
512,Amaanat,1955,7.1,,15.0
513,Bandish,1955,7.1,,14.0
514,Naata,1955,7.3,,13.0
515,Swami Vivekananda,1955,6.5,,12.0
516,Char Paise,1955,5.8,,11.0
517,Yasmin,1955,5.8,,11.0
518,Bahu,1955,6.9,,10.0
519,Adil-E-Jahangir,1955,5.0,,7.0
520,Waman Avtar,1955,6.2,,6.0
521,Faraar,1955,,,
522,Toofan Mail,1955,,,
523,Salaam E Mohabbat,1955,,,
524,Post Master,1955,,,
525,Naghma E Sahara,1955,,,
526,Adamkhor,1955,,,
527,Alladin Ka Beta,1955,,,
528,Bhedi Lutera,1955,,,
529,Chhabila,1955,,,
530,Deewar,1955,,,
531,Darbar,1955,,,
532,Khoufank Jungle,1955,,,
533,Lakhon Mein Ek,1955,,,
534,Mano Na Mano,1955,,,
535,Mitrata Ki Yatra,1955,,,
536,Prabhu Ki Maya,1955,,,
537,Oot Patang,1955,,,
538,Raj Kanya,1955,,,
539,Roop Basant,1955,,,
540,Sakhi Hatim,1955,,,
541,Shahi Chor,1955,,,
542,Shiv Bhakta,1955,,,
543,Son of Ali Baba,1955,,,
544,Tatar Ka Chor,1955,,,
545,Teen Sardar,1955,,,
546,Shah Behram,1955,,,
547,Madhur Milan,1955,,,
548,Tees Maar Khan,1955,,,
549,Chingari,1955,,,
550,Kanchan,1955,,,
551,Jai Mahadev,1955,,,
552,Veer Rajputani,1955,,,
553,Flying Man,1955,,,
554,Jawab,1955,,,
555,Hatimtai Ki Beti,1955,,,
556,Inaam,1955,,,
557,Jungle Ka Jadoo,1955,,,
558,Duniya Gol Hai,1955,,,
559,Jalti Nishani,1955,,,
560,Baghdad Ka Chor,1955,,,
561,Shahzada,1955,,,
562,Bhagwat Mahima,1955,,,
563,Tangewali,1955,,,
564,Shri Ganesh Vivah,1955,,,
565,Raj Durbar,1955,,,
566,Mahasati Savitri,1955,,,
567,Raftar,1955,,,
568,Jasoos,1955,,,
569,Bindiya,1955,,,
570,Andher Nagari Chaupat Raja,1955,,,
571,Riyasat,1955,,,
572,Santosham,1955,,,
573,Patit Pawan,1955,,,
574,Navratri,1955,,,
575,Khandaan,1955,,,
576,Do Dulhe,1955,,,
577,Carnival Queen,1955,,,
578,Sabse Bada Rupaiya,1955,,,
579,Ha Ha Hee Hee Ho Ho,1955,,,
580,Musafir Khana,1955,,,
581,Rajkumari,1955,,,
582,Sau Ka Note,1955,,,
583,Ratnaghar,1955,,,
584,Ratna Manjari,1955,,,
585,Chirag-e-Cheen,1955,,,
586,Shree Krishna Bhakti,1955,,,
587,Society,1955,,,
588,Shri Nagad Narayan,1955,,,
589,Miss Coca Cola,1955,,,
590,Mast Qalandar,1955,,,
591,Sakhi Lutera,1955,,,
592,Ghar Ghar Mein Diwali,1955,,,
593,Ekadashi,1955,,,
594,Lagan,1955,,,
595,Jagadguru Shankaracharya,1955,,,
596,Bihar Ke Darshaniya Sthan,1955,,,
597,Albeli,1955,,,
598,Sati Madalasa,1955,,,
599,Oonchi Haveli,1955,,,
600,Mastani,1955,,,
601,Ghamand,1955,,,
602,Shikar,1955,,,
603,Lutera,1955,,,
604,Teen Bhai,1955,,,
605,Madh Bhare Nain,1955,,,
606,Ganga Maiyya,1955,,,
607,Aaj Ki Baat,1955,,,
608,Amar Saigal,1955,,,
609,Shahi Mehmaan,1955,,,
610,Pyaara Dushman,1955,,,
611,Joru Ka Bhai,1955,,,
612,Hoor-E-Arab,1955,,,
613,Daku,1955,,,
614,Haseena,1955,,,
615,Teerandaz,1955,,,
616,Naqab,1955,,,
617,Rukhsana,1955,,,
618,Sitara,1955,,,
619,Jashan,1955,,,
620,Stay Alert,1956,8.4,,808.0
621,C.I.D.,1956,7.4,,584.0
622,Chori Chori,1956,7.8,,434.0
623,Funtoosh,1956,7.3,,69.0
624,New Delhi,1956,7.4,,62.0
625,Toofan Aur Deeya,1956,6.7,,58.0
626,Ek-Hi-Rasta,1956,6.8,,40.0
627,Halaku,1956,6.5,,39.0
628,Pocket Maar,1956,7.2,,36.0
629,Basant Bahar,1956,7.0,,30.0
630,Shirin Farhad,1956,7.0,,28.0
631,Mem Sahib,1956,6.8,,24.0
632,Bhagam Bhag,1956,5.7,,22.0
633,Parivar,1956,7.3,,20.0
634,Hatimtai,1956,6.5,,16.0
635,Bhai-Bhai,1956,5.8,,16.0
636,Ham Sab Chor Hain,1956,5.3,,15.0
637,Raj Hath,1956,6.3,,15.0
638,Heer,1956,4.8,,13.0
639,Devta,1956,5.4,,13.0
640,Naya Andaz,1956,6.2,,11.0
641,Paisa Hi Paisa,1956,6.6,,10.0
642,Chhoo Mantar,1956,6.1,,10.0
643,Sheikh Chilli,1956,6.0,,9.0
644,Rangin Raaten,1956,6.3,,9.0
645,Ek Shola,1956,4.1,,9.0
646,Some Where in Delhi,1956,4.9,,9.0
647,Baghdad Ka Jadu,1956,4.6,,8.0
648,Aawaz,1956,5.1,,8.0
649,Kismet Ka Khel,1956,5.6,,8.0
650,Durgesh Nandini,1956,6.0,,7.0
651,Bajrang Bali,1956,6.6,,7.0
652,26 January,1956,6.6,,7.0
653,Bal Ramayan,1956,6.1,,7.0
654,Taj,1956,6.6,,7.0
655,Sailaab,1956,7.3,,7.0
656,Samundari Daku,1956,6.4,,5.0
657,Aan Baan,1956,2.8,,5.0
658,Lalu-Ustad,1956,,,
659,Zarina,1956,,,
660,Kya Baat Hain,1956,,,
661,Do Shehzaade,1956,,,
662,Sultan - E- Alam,1956,,,
663,26th January,1956,,,
664,Yahudi Ki Beti,1956,,,
665,Naqab Posh,1956,,,
666,Lal E Yaman,1956,,,
667,Jallad,1956,,,
668,Indra Sabha,1956,,,
669,Indra Leela,1956,,,
670,Husn Banu,1956,,,
671,Jaldeep,1956,,,
672,Gul-E-Begum Badshah,1956,,,
673,Bharti,1956,,,
674,Dayar-E-Habib,1956,,,
675,Basre Ki Hoor,1956,,,
676,Astik,1956,,,
677,Alam Ara,1956,,,
678,Anokha Jungle,1956,,,
679,Awara Shehzadi,1956,,,
680,Dwarikadheesh,1956,,,
681,Harihar Bhakti,1956,,,
682,Qeemat,1956,,,
683,Kala Chor,1956,,,
684,Ankh Ka Nasha,1956,,,
685,Guru Ghantal,1956,,,
686,Khul Ja Sim Sim,1956,,,
687,Naya Aadmi,1956,,,
688,Baghi Sardar,1956,,,
689,Hotel,1956,,,
690,Pyaas,1956,,,
691,Chandrakanta,1956,,,
692,Sultana Daku,1956,,,
693,Roop Kumari,1956,,,
694,Panna,1956,,,
695,Caravan,1956,,,
696,Fighting Queen,1956,,,
697,Lalten,1956,,,
698,Fifty Fifty,1956,,,
699,Shrimati 420,1956,,,
700,Malika,1956,,,
701,Zindagi,1956,,,
702,Ram Navami,1956,,,
703,Lalkaar,1956,,,
704,Dassehra,1956,,,
705,Amarsinh Rathod,1956,,,
706,Makkhee Choos,1956,,,
707,Anuraag,1956,,,
708,Badal Aur Bijli,1956,,,
709,Sajani,1956,,,
710,Gauri Puja,1956,,,
711,Jungle Queen,1956,,,
712,Raj Rani Meera,1956,,,
713,Arab Ka Saudagar,1956,,,
714,Sati Naag Kanya,1956,,,
715,Zindagi Ke Mele,1956,,,
716,Talwar Ka Dhani,1956,,,
717,Taj Aur Talwar,1956,,,
718,Insaaf,1956,,,
719,Ghulam Begum Badshah,1956,,,
720,Sipahsalar,1956,,,
721,Taksaal,1956,,,
722,Ayodhyapati,1956,,,
723,Sudarshan Chakra,1956,,,
724,Sati Ansuya,1956,,,
725,Hamara Watan,1956,,,
726,Diwali Ki Raat,1956,,,
727,Dashera,1956,,,
728,Basant Panchami,1956,,,
729,Char Minar,1956,,,
730,Aabroo,1956,,,
731,Delhi Durbar,1956,,,
732,Kismet,1956,,,
733,Jayshree,1956,,,
734,Char Dost,1956,,,
735,Ramshastri Ka Nyay,1956,,,
736,Passing Show,1956,,,
737,Kar Bhala,1956,,,
738,Mr. Lambu,1956,,,
739,Mr. Chakram,1956,,,
740,Shoharat,1956,,,
741,Dhola Maru,1956,,,
742,Shatranj,1956,,,
743,Bandhan,1956,,,
744,Dhake Ki Malmal,1956,,,
745,Rajdhani,1956,,,
746,Patrani,1956,,,
747,Inquilab,1956,,,
748,Mother India,1957,8.1,53.0,8168.0
749,Pyaasa,1957,8.5,,5044.0
750,Do Ankhen Barah Haath,1957,8.4,,1599.0
751,Naya Daur,1957,8.1,,1012.0
752,Paying Guest,1957,7.1,,208.0
753,Nau Do Gyarah,1957,6.9,,132.0
754,Tumsa Nahin Dekha,1957,7.1,,101.0
755,Sharada,1957,6.6,,91.0
756,Pardesi,1957,7.0,,87.0
757,Musafir,1957,7.6,,83.0
758,Ab Dilli Dur Nahin,1957,7.5,,74.0
759,Apradhi Kaun?,1957,7.6,,63.0
760,Bhabhi,1957,7.0,,41.0
761,Gateway of India,1957,7.2,,40.0
762,Miss Mary,1957,6.7,,35.0
763,Ek-Saal,1957,7.2,,35.0
764,Baarish,1957,7.3,,32.0
765,Dekh Kabira Roya,1957,7.4,,28.0
766,Kath Putli,1957,6.9,,28.0
767,Bandi,1957,6.1,,26.0
768,Rani Rupmati,1957,5.8,,25.0
769,Mr. X,1957,5.3,,20.0
770,Changez Khan,1957,7.2,,19.0
771,Aasha,1957,6.5,,19.0
772,Nausherwan-E-Adil,1957,6.3,,18.0
773,Mirza Sahiban,1957,6.4,,17.0
774,Dushman,1957,6.9,,15.0
775,Inspector,1957,5.5,,14.0
776,Suvarna Sundari,II) (1957,7.3,,14.0
777,Sheroo,1957,6.8,,12.0
778,Neel Mani,1957,6.1,,12.0
779,Ek Gaon Ki Kahani,1957,5.9,,12.0
780,Arpan,1957,7.2,,11.0
781,Hum Panchhi Ek Daal Ke,1957,6.6,,11.0
782,Hill Station,1957,7.2,,11.0
783,Mai Baap,1957,6.8,,11.0
784,Miss India,1957,6.8,,10.0
785,Johnny-Walker,1957,6.2,,9.0
786,Fashion,1957,8.0,,9.0
787,Aaravalli,1957,5.9,,8.0
788,Do Roti,1957,5.7,,7.0
