name,year,rating,metascore,num_votes
Shikast,1953,7.2,,36.0
Shole,1953,7.2,,31.0
Daera,1953,6.6,,31.0
Rahi,1953,6.9,,28.0
Rail Ka Dibba,1953,7.6,,26.0
Dhoon,1953,7.2,,19.0
Teen Batti Char Raasta,1953,7.3,,18.0
Jeewan Jyoti,1953,6.2,,18.0
Laila Majnu,1953,7.7,,18.0
Armaan,1953,6.6,,17.0
Ladki,1953,5.8,,16.0
Aurat,1953,4.9,,15.0
Aas,1953,4.9,,13.0
Alif-Laila,1953,6.2,,10.0
Dil-E-Nadan,1953,6.3,,9.0
Shahenshah,1953,4.6,,9.0
Naulakha Haar,1953,6.4,,8.0
Humsafar,1953,7.3,,7.0
Thokar,1953,6.6,,5.0
Aabshar,1953,5.0,,5.0
Gorilla,1953,,,
Farmaish,1953,,,
Gauhar,1953,,,
Shamsherbaaz,1953,,,
Fareb,1953,,,
Laharen,1953,,,
Humdard,1953,,,
Mashooka,1953,,,
Ek Do Teen,1953,,,
Aaghosh,II) (1953,,,
Husn Ka Chor,1953,,,
Madmust,1953,,,
Aag Ka Dariya,1953,,,
Jungle Ka Jawahar,1953,,,
Gunah,1953,,,
Anand Bhawan,1953,,,
Shyama,1953,,,
Dhuaan,1953,,,
Raj Ratan,1953,,,
Hari Darshan,1953,,,
Dharma Pathni,1953,,,
Char Chand,1953,,,
Naag Panchami,1953,,,
Suhag Sindoor,1953,,,
Bahu Beti,1953,,,
Babla,1953,,,
Chalis Baba Ek Chor,1953,,,
Mehmaan,1953,,,
Shagufa,1953,,,
Lehren,1953,,,
Chandirani,III) (1953,,,
Bahadur,1953,,,
Gharbaar,1953,,,
Chacha Chowdhury,1953,,,
Shamsheer,1953,,,
Nav Durga,1953,,,
Naya Ghar,1953,,,
Mallika Soloni,1953,,,
Firdaus,1953,,,
Malkin,1953,,,
Shuk Rambha,1953,,,
Naya Raasta,1953,,,
Manchala,1953,,,
Mahatma,I) (1953,,,
Hazaar Raaten,1953,,,
Bhagyawan,1953,,,
Naina,1953,,,
Aansoo,1953,,,
Akash,1953,,,
Paheli Shaadi,1953,,,
Jallianwalla Baag Ki Jyoti,1953,,,
Faraib,1953,,,
Dard-E-Dil,1953,,,
Khoj,1953,,,
Jhamela,1953,,,
Gul Sanobar,1953,,,
Dana Paani,1953,,,
Rangila,1953,,,
Nabin Yatra,1953,,,
Baghi,1953,,,
Boot Polish,1954,8.1,,693.0
Taxi Driver,1954,7.1,,244.0
Aar-Paar,1954,6.7,,210.0
Amar,1954,6.9,,149.0
Jagriti,1954,6.9,,118.0
Mirza Ghalib,1954,7.6,,97.0
Naukari,1954,7.7,,80.0
Nagin,1954,6.6,,56.0
Alibaba and 40 Thieves,1954,6.2,,47.0
Biraj Bahu,1954,6.2,,43.0
Manohara,I) (1954,7.2,,42.0
Nastik,1954,6.4,,31.0
'Ferry',1954,5.6,,27.0
Shama Parwana,1954,6.6,,24.0
Bahut Din Huwe...,1954,6.7,,24.0
Shabab,1954,5.7,,23.0
Hamlet,1954,6.6,,22.0
Chor Bazar,1954,5.8,,19.0
Baadbaan,1954,6.7,,19.0
Badshah,1954,6.4,,16.0
Mayurpankh,1954,6.1,,16.0
Tulsidas,1954,6.6,,15.0
Baap Beti,1954,6.8,,14.0
Adhikar,1954,6.6,,12.0
Shaheed-E-Azad Bhagat Singh,1954,7.3,,11.0
Shart,1954,5.8,,11.0
Subah Ka Tara,1954,5.4,,9.0
